Id,Latitude,Longitude,On street,Zipcode,Installation Date
21355,40.7201002,-74.0023613,Mercer St,10013,08/27/2021
21354,40.7761328,-73.9636596,E 78th St,10075,07/19/2021
21345,40.7828319,-73.9479924,2nd Ave,10128,06/08/2021
21343,40.7154753,-74.0058041,Duane St,10007,11/17/2020
21328,40.7507841,-73.9840697,W 37th St,10018,12/08/2020
21319,40.7070847,-74.0017832,South St,10038,06/11/2021
21315,40.8127801,-73.9374593,E 135 ST,10037,11/12/2020
21313,40.7972108,-73.9458928,E 112 ST,10029,01/13/2021
21312,40.7892005,-73.9433137,2 AVE,10029,01/13/2021
21309,40.7962520,-73.9384969,2 AVE,10029,12/01/2020
21308,40.7983479,-73.9366313,2 AVE,10035,12/07/2020
21304,40.8234857,-73.9396135,W 147 St,10039,12/16/2020
21303,40.8237070,-73.9377959,7 AVE,10039,11/16/2020
21299,40.8229492,-73.9424684,W 145 ST,10030,11/12/2020
21298,40.8247384,-73.9365809,7 AVE,10039,12/02/2020
21237,40.7304874,-73.9893705,3 Avenue,10003,03/15/2023
21236,40.7167803,-74.0072941,Thomas Street,10013,12/08/2023
21235,40.7166154,-74.0100248,Reade Street,10013,11/27/2023
21213,40.7537469,-73.9990507,W 33rd St,10001,12/28/2020
21209,40.7501265,-73.9947956,8th Ave,10001,01/06/2021
21206,40.7508100,-74.0020753,10th Ave,10001,01/28/2021
21166,40.8042290,-73.9630753,Amsterdam Av,10025,07/12/2022
18838,40.8657311,-73.9198204,West 207th Street,10034,11/24/2020
18665,40.8289528,-73.9502465,Riverside Dr,10031,03/22/2019
18664,40.7525061,-73.9939364,34th Street,10001,04/15/2019
18631,40.7577300,-73.9770611,East 49th Street,10022,04/15/2019
18578,40.8303516,-73.9423283,W 154th St,10032,01/04/2019
18577,40.8275671,-73.9512738,Riverside Dr,10031,12/21/2018
18572,40.8209960,-73.9574677,W 135th St,10031,11/30/2018
18571,40.8018445,-73.9609402,Morningside Dr,10026,01/25/2019
18499,40.8662725,-73.9248380,Broadway,10034,11/24/2020
18494,40.7413529,-73.9814946,3rd Avenue,10016,04/15/2019
18486,40.7566831,-73.9720984,Lexington Avenue,10022,04/15/2019
18407,40.7034241,-74.0102140,Coenties Slip,10004,09/25/2018
18326,40.7748219,-73.9588691,Lexington Ave,10075,01/04/2019
18313,40.7289422,-73.9905145,Cooper Sq,10003,09/21/2018
18280,40.7832391,-73.9746908,Columbus Ave,10024,01/25/2019
18278,40.7804826,-73.9863511,W 72 St,10023,09/13/2021
18116,40.7725067,-73.9727705,Center Drive,10065,04/09/2020
18023,40.7164237,-74.0012950,Centre St,10013,12/31/2020
18021,40.7196293,-74.0085318,Hudson St,10013,09/21/2018
18017,40.7230413,-73.9986688,Broadway,10012,03/31/2020
18014,40.7134209,-73.9966958,E Broadway,10002,12/31/2020
18011,40.7384555,-73.9900621,Broadway,10003,03/08/2019
18009,40.7641935,-73.9648357,3rd Ave,10065,12/21/2018
18006,40.7649868,-73.9651674,E 64th St,10065,12/21/2018
18002,40.7652884,-73.9640301,3rd Ave,10065,06/27/2019
17939,40.7958660,-73.9353226,E 116th St,10029,05/17/2019
17914,40.8165281,-73.9350786,W 141st St,10037,12/26/2018
17905,40.8060307,-73.9424541,5th Ave,10035,03/26/2019
17896,40.7215427,-74.0021790,Grand St,10013,05/31/2019
17894,40.7116314,-74.0007358,Madison St,10038,09/23/2019
17892,40.7985775,-73.9515225,W 111th St,10026,03/24/2021
17891,40.7977169,-73.9371195,2nd Ave,10035,12/26/2018
17890,40.7856932,-73.9427852,1st Ave,10029,09/06/2019
17871,40.8013013,-73.9541464,Adam Clayton Powell Jr Blvd,10026,03/22/2019
17866,40.8130490,-73.9372820,5th Ave,10037,04/08/2019
17865,40.8102653,-73.9471683,Adam Clayton Powell Jr Blvd,10027,12/26/2018
17864,40.7999749,-73.9405414,Lexington Ave,10035,07/26/2019
17863,40.7999661,-73.9450382,E 116th St,10029,01/09/2020
17861,40.7943433,-73.9317090,E 116th St,10029,07/28/2021
17857,40.8298249,-73.9487969,W 150th St,10031,12/26/2018
17853,40.8246526,-73.9404616,Frederick Douglass Blvd,10039,12/26/2018
17832,40.8202032,-73.9399091,Adam Clayton Powell Jr Blvd,10030,12/26/2018
17823,40.8120430,-73.9362021,E 135th St,10037,03/12/2021
17821,40.8063205,-73.9401203,Madison Ave,10035,03/12/2021
17820,40.8061055,-73.9437472,W 124th St,10027,04/01/2019
17819,40.8035518,-73.9415857,E 122nd St,10035,05/01/2019
17816,40.8031500,-73.9581003,Manhattan Ave,10026,12/26/2018
17815,40.8062452,-73.9558335,Manhattan Ave,10026,05/15/2019
17814,40.8057800,-73.9504410,Adam Clayton Powell Jr Blvd,10027,06/25/2019
17813,40.8031465,-73.9561893,Frederick Douglass Blvd,10026,04/26/2019
17811,40.7971994,-73.9343823,1st Ave,10035,09/10/2019
17810,40.8018505,-73.9495066,W 116th St,10026,05/22/2019
17805,40.7961419,-73.9433511,Lexington Ave,10029,01/27/2021
17804,40.7994580,-73.9550594,Adam Clayton Powell Jr Blvd,10026,05/15/2019
17802,40.7896473,-73.9459285,3rd Ave,10029,03/27/2019
17672,40.7902117,-73.9476774,Lexington Ave,10029,06/28/2019
17671,40.7945167,-73.9394422,2nd Ave,10029,04/20/2019
17595,40.8267756,-73.9377930,Macombs Pl,10039,03/27/2019
17588,40.8235285,-73.9374781,Adam Clayton Powell Jr Blvd,10039,03/20/2019
17572,40.8164426,-73.9467249,Frederick Douglass Blvd,10030,06/11/2019
17567,40.8148178,-73.9359726,5th Ave,10037,04/11/2019
17565,40.8115733,-73.9502772,Frederick Douglass Blvd,10027,12/26/2018
17562,40.8207460,-73.9568392,W 135th St,10031,12/26/2018
17560,40.8015593,-73.9345787,2nd Ave,10035,05/30/2019
17553,40.8173691,-73.9424118,Adam Clayton Powell Jr Blvd,10030,12/26/2018
17531,40.8028639,-73.9435910,E 120th St,10027,05/03/2019
17530,40.7972550,-73.9406803,3rd Ave,10029,04/15/2019
17526,40.7915741,-73.9486000,E 104th St,10029,03/27/2019
17523,40.7860480,-73.9397445,FDR Drive,10029,09/28/2020
17522,40.7858492,-73.9490062,3rd Ave,10029,09/10/2019
17500,40.7865732,-73.9568444,5th Ave,10128,01/25/2021
17483,40.7629660,-73.9897913,W 49th St,10019,04/17/2019
17459,40.7189400,-74.0121572,Harrison St,10013,06/25/2019
17456,40.8056588,-73.9583046,Morningside Ave,10026,10/21/2019
17434,40.8209166,-73.9449992,Edgecombe Ave,10030,05/23/2019
17428,40.8254172,-73.9457554,Convent Ave,10031,06/26/2020
17421,40.7783551,-73.9626340,5th Ave,10028,03/06/2020
17415,40.8475066,-73.9381857,Broadway,10033,05/08/2019
17400,40.8347412,-73.9427518,W 159th St,10032,12/26/2018
17399,40.8268170,-73.9494062,W 146th St,10031,12/26/2018
17389,40.8350198,-73.9456921,Edward M Morgan Pl,10032,04/09/2020
17388,40.7926428,-73.9500931,Madison Ave,10029,03/25/2019
17329,40.7337542,-73.9981886,W 9th St,10011,08/12/2020
17323,40.7332736,-73.9934510,University Pl,10003,09/06/2019
17320,40.7081317,-74.0044112,Fulton St,10038,06/17/2021
17319,40.7065562,-74.0052623,Water St,10038,07/06/2021
17318,40.8403678,-73.9383549,Audubon Ave,10032,05/30/2019
17317,40.7058835,-74.0038279,South St,10038,07/14/2021
17316,40.8367233,-73.9393521,Amsterdam Ave,10032,05/02/2019
17312,40.8322209,-73.9426446,Amsterdam Ave,10032,07/23/2019
17308,40.8296734,-73.9442306,Amsterdam Ave,10031,07/31/2019
17305,40.8284268,-73.9451421,Amsterdam Ave,10031,05/01/2019
17304,40.8279281,-73.9424279,St Nicholas Ave,10031,03/27/2019
17303,40.8275955,-73.9471313,W 148th St,10031,05/09/2019
17302,40.8233419,-73.9488560,Amsterdam Ave,10031,05/09/2019
17301,40.8226937,-73.9477329,Convent Ave,10031,05/05/2019
